Team,Sweet16Prob,Elite8Prob,Final4Prob,ChampProb,CinderellaScore
Connecticut,0.775,0.499,0.24,0.03,3.899
Purdue,0.671,0.427,0.193,0.033,3.327
Iowa St,0.742,0.257,0.075,0.008,2.772
Texas Tech,0.677,0.233,0.07,0.008,2.527
Michigan St,0.566,0.25,0.088,0.009,2.337
Alabama,0.603,0.179,0.08,0.007,2.202
Nebraska,0.602,0.176,0.074,0.004,2.18
Vanderbilt,0.514,0.226,0.085,0.006,2.131
Virginia,0.463,0.197,0.07,0.004,1.888
Kansas,0.604,0.107,0.03,0.002,1.888
Gonzaga,0.506,0.103,0.033,0.003,1.638
Louisville,0.406,0.165,0.054,0.004,1.618
Arkansas,0.482,0.1,0.032,0.003,1.567
St John's,0.348,0.077,0.027,0.001,1.153
Tennessee,0.246,0.124,0.042,0.004,1.068
North Carolina,0.326,0.044,0.009,0.0,0.968
St Mary's CA,0.285,0.066,0.022,0.001,0.954
Wisconsin,0.234,0.051,0.01,0.0,0.755
Georgia,0.119,0.041,0.009,0.0,0.44
Texas A&M,0.138,0.024,0.003,0.0,0.423
Utah St,0.105,0.035,0.008,0.0,0.385
Miami FL,0.118,0.019,0.002,0.0,0.358
Ohio St,0.083,0.03,0.007,0.0,0.31
N.C. State,0.079,0.031,0.009,0.0,0.307
UCLA,0.072,0.024,0.004,0.0,0.261
BYU,0.066,0.025,0.007,0.0,0.252
SMU,0.081,0.014,0.004,0.0,0.25
Iowa,0.066,0.024,0.005,0.0,0.249
Santa Clara,0.076,0.013,0.002,0.0,0.235
St Louis,0.061,0.021,0.005,0.0,0.223
Kentucky,0.06,0.018,0.002,0.0,0.21
Villanova,0.055,0.018,0.004,0.0,0.201
UCF,0.054,0.011,0.001,0.0,0.168
South Florida,0.059,0.003,0.0,0.0,0.16
Clemson,0.042,0.016,0.003,0.0,0.158
Texas,0.034,0.013,0.002,0.0,0.129
Belmont,0.03,0.002,0.0,0.0,0.082
TCU,0.026,0.003,0.0,0.0,0.075
New Mexico,0.025,0.003,0.0,0.0,0.071
Missouri,0.02,0.005,0.001,0.0,0.065
SF Austin,0.019,0.001,0.0,0.0,0.05
Miami OH,0.012,0.001,0.0,0.0,0.035
Utah Valley,0.012,0.001,0.0,0.0,0.034
Yale,0.01,0.001,0.0,0.0,0.028
Liberty,0.01,0.0,0.0,0.0,0.026
VCU,0.01,0.001,0.0,0.0,0.026
High Point,0.008,0.0,0.0,0.0,0.021
North Dakota St.,0.007,0.0,0.0,0.0,0.018
Hawaii,0.004,0.0,0.0,0.0,0.01
UNC Wilmington,0.004,0.0,0.0,0.0,0.01
Wright St,0.002,0.0,0.0,0.0,0.006
Merrimack,0.001,0.0,0.0,0.0,0.003
Austin Peay,0.001,0.0,0.0,0.0,0.003
ETSU,0.001,0.0,0.0,0.0,0.003
Navy,0.001,0.0,0.0,0.0,0.002
Portland St,0.001,0.0,0.0,0.0,0.002
Howard,0.0,0.0,0.0,0.0,0.001
Troy,0.0,0.0,0.0,0.0,0.001
UMBC,0.0,0.0,0.0,0.0,0.0
Bethune-Cookman,0.0,0.0,0.0,0.0,0.0
LIU Brooklyn,0.0,0.0,0.0,0.0,0.0
Tennessee St,0.0,0.0,0.0,0.0,0.0
